Наименование;Производитель ;Цена;Ссылка
ТЕРБИНАФИН КАНОН;Канонфарма продакшн, ЗАО ;141;/product/terbinafin-kanon-025-n10-tabl-5e327822f5a9ae000140ffaa/
ЛЕВОМИКОН-ТФФ;Тульская фармацевтическая фабрика ООО ;98;/product/levomikon-tff-400-maz-dnaruzh-prim-5e327859ca7bdc0001934aa2/
ГИДРОКОРТИЗОН;Биохимик АО ;31;/product/gidrokortizon-1-100-maz-bioximik-5e326e49ca7bdc000192fb5a/
ЙОД;Флора Кавказа ОАО ;29;/product/jod-5-10ml-r-r-dnaruzh-prim-spirtovoj-indupflora-kavkaza-60ab441bf2306779e0504da9/
ГИДРОКОРТИЗОН;Татхимфармпрепараты АО ;31;/product/gidrokortizon-05-30-maz-glaznaya-60bdc8b0883e33a2ffb034fa/
ВИНИЛИН;Ивановская фармацевтическая фабрика ОАО ;116;/product/vinilin-1000-zhidkost--dpriema-vnutr-i-nar-prim-flakiff-5e3274f465b5ab000165716f/
ГЛИЦЕРИН;Ярославская фармацевтическая фабрика, ЗАО ;23;/product/gliczerin-250-flak-r-r-dnaruzh-primyaroslavskaya-ff-5e326574f5a9ae0001406bb7/
САНГВИРИТРИН;Фармцентр ВИЛАР, АО ;165;/product/sangviritrin-02-r-r-dnaruzhmest-prim-spirtovoj-50ml-5e32721fca7bdc00019317df/
НАБОР ЛАМИЗИЛ 1% 30МЛ СПРЕЙ закажи со скидкой 30% на вторую упаковку;ЛАМИЗИЛ ;1 424;/product/5fecb811014f3286df63dfb3/
ЦИНКОВАЯ ПАСТА;ТВЕРСКАЯ ФАРМАЧЕВТИЧЕСКАЯ ФАБРИКА ОАО ;61;/product/czinkovaya-250-pastatverskaya-ff-5e32677265b5ab0001650bd8/
ГЕРПФЕРОН;ФИРН М ООО ;220;/product/gerpferon-50-maz-dmestnaruzh-prim-5e394a94036a4f0001a203c6/
БЕТАДИН;Эгис Фармацевтический завод ЗАО ;154;/product/betadin-10-30ml-flakkap-r-r-5e326b27f5a9ae0001409a3f/
АЦИКЛОВИР АВЕКСИМА;ИРБИТСКИЙ ХИМФАРМЗАВОД, ОАО ;60;/product/acziklovir-aveksima-02-n20-tabl-5e326801ca7bdc000192ca99/
НАФТОДЕРИЛ;ОЗОН ООО ;239;/product/naftoderil-1-150-krem-dnaruzh-prim-5e326e5765b5ab000165410b/
ТЕРБИНАФИН-ТЕВА;Тева Фармацевтические Предприятия Лтд ;449;/product/terbinafin-teva-025-n14-tabl-5e32664165b5ab000164ffcd/
ДЕПАНТОЛ;Нижфарм АО ;623;/product/depantol-n10-supp-vag-5e326d42f5a9ae000140a9f4/
ПРОПОЛИСА НАСТОЙКА;Татхимфармпрепараты АО ;53;/product/propolisa-nastojka-25ml-induptatximfarm-5e32642f65b5ab000164f3f3/
ТЕЙМУРОВА ПАСТА;Муромский приборостроительный завод ,АО ;40;/product/tejmurova-pasta-300-5e32660af5a9ae0001406f50/
ФУРАЦИЛИН;Фармлэнд СП, ООО ;77;/product/furaczilin-002-250ml-n1-kontejner-r-r-dmestnaruzh-prim-5f9937f40bdc140001494dcf/
СИНТОМИЦИН;Нижфарм АО ;89;/product/sintomiczin-10-250-liniment-dnaruzh-primnizhfarm-5e326be0f5a9ae000140a0f8/
ПАНАВИР;Зеленая Дубрава ЗАО ;161;/product/panavir-0002-50-gel-dnaruzh-mest-prim-5f6df0c46ee21a0001b8bf23/
МОМЕТАЗОН-АКРИХИН;Акрихин ХФК АО ;74;/product/mometazon-akrixin-01-150-krem-dnaruzh-prim-5fa409acd97aeb0001797d9e/
ФТОРОКОРТ;Гедеон Рихтер ОАО ;261;/product/ftorokort-01-150-maz-5e327759ca7bdc0001934123/
НАФТОДЕРИЛ;Кировская фармацевтическая фабрика, АО ;289;/product/naftoderil-1-10ml-r-r-dnaruzh-prim-5e9d5d632b14560001806420/
МЕНОВАЗИН;Самарамедпром, ОАО ;27;/product/menovazin-50ml-flak-polimer-r-r-dnaruzh-prim-spirtovojv-komplekte-s-nasadkoj-raspylitelnoj-60548f1de308c91b592a35c8/
СКИНОРЕН;ЛЕО Фарма Мануфэкчуринг Итали С.р.л. ;705;/product/skinoren-15-150-gel-dnaruzh-prim-6073dc5c447f50bd761992e3/
ЦИНКОВАЯ;Московская фармацевтическая фабрика ЗАО ;33;/product/czinkovaya-300-mazmff-5e326c58ca7bdc000192ee23/
АЦИКЛОВИР;Алтайвитамины АО ;32;/product/acziklovir-5-100-maz-6073e6ec937fd19cf3fd78e3/
ГИДРОПЕРИТ;Татхимфармпрепараты АО ;45;/product/gidroperit-15-n8-tabl-dr-ra-dmestnaruzh-primindup-60598a32526cfe787de83b87/
ФЛУЦИНАР Н;Фармзавод Ельфа А.О. ;222;/product/fluczinar-n-150-maz-5e3275d3ca7bdc00019332c1/
БАКТРОБАН;Глаксо Оперэйшенс Великобритания Лтд ;747;/product/baktroban-2-30-maz-nazal-5e32796865b5ab000165989e/
КОНТРАКТУБЕКС;Мерц Фарма ГмбХ и Ко.КГаА ;565;/product/kontraktubeks-200-gel-5e32688565b5ab00016514ed/
ФУКОРЦИН;Московская фармацевтическая фабрика ЗАО ;31;/product/fukorczin-10ml-flak-stekl-s-kryshkoj-lopatkoj-r-r-dnaruzh-primindupmff-60a24a4b5d2fa39103bcb1f4/
ЦИНКОВАЯ ПАСТА;Тульская фармацевтическая фабрика ООО ;57;/product/czinkovaya-250-banka-pastatulskaya-ff-5e32774af5a9ae000140f73d/
ИНДАПАМИД КАНОН;Канонфарма продакшн, ЗАО ;32;/product/indapamid-kanon-00025-n30-tabl-pplenoboloch-5e326f72f5a9ae000140bdf1/
АДОНИС-БРОМ;Вифитех ЗАО ;114;/product/adonis-brom-n20-tabl-po-5e326c04ca7bdc000192ebcb/
ЭГИЛОК;Эгис Фармацевтический завод ЗАО ;65;/product/egilok-0025-n60-tabl-5e326b17ca7bdc000192e326/
Специальная цена на комплект из 2 упаковок Ливазо® 2 мг №28.;Пьер Фабр Медикамент Продакшн/Рекордати Химическая и Фармацевтическая Индустрия С.п.А. ;1 676;/product/5f754d368cdf6e00017dee72/
ЛИВАЗО 2МГ N28 ТАБЛ П/ПЛЕН ОБОЛОЧ;Пьер Фабр Медикамент Продакшн/Рекордати Химическая и Фармацевтическая Индустрия С.п.А. ;1 013;/product/livazo-2mg-n28-tabl-pplen-oboloch-5e327385ca7bdc0001932190/
АТОРВАСТАТИН-ТЕВА;АЛКАЛОИД АД Скопье ;182;/product/atorvastatin-teva-001-n30-tabl-pplenoboloch-6141b2dbb722d30f460f7b7a/
НАБОР ГИПОСАРТ 0,032 N28 ТАБЛ + ИНДАПАМИД-АКРИХИН 0,0025 N30 ТАБЛ П/ПЛЕН/ОБОЛОЧ закажи по специальной цене;ПОЛЬФАРМА Фармацевтический завод, АО ;458;/product/615588dd1225de1222b2cbe1/
ГЕПАРИНОВАЯ;БЕЛМЕДПРЕПАРАТЫ, РУП ;66;/product/geparinovaya-250-maz-belmedpreparaty-5e3267a0f5a9ae0001407e80/
ВАЛИДОЛ;МАРБИОФАРМ ОАО ;38;/product/validol-006-n10-tabl-pyazychindupmarbiofarm-60753dccd937f7cfb86538df/
ЛИЗИНОПРИЛ;Пранафарм ООО ;74;/product/lizinopril-001-n30-tabl-pranafarm-5e3273a6ca7bdc00019321ea/
АМЛОДИПИН-АКРИХИН;Юникем Лабораториз Лимитед ;107;/product/amlodipin-akrixin-001-n30-tabl-6038b22cf24940e2c2bc4ce6/
АМЛОДИПИН-ТЕВА;Тева, ООО ;122;/product/amlodipin-teva-0005-n30-tabl-5e327670ca7bdc00019338e2/
АТОРВАСТАТИН;ОЗОН ООО ;147;/product/atorvastatin-001-n30-tabl-pplenobolochozon-5e327341ca7bdc0001932009/
ЛИПРИМАР;Пфайзер Фармасьютикалз ЭлЭлСи/Пфайзер Мэнюфэкчурин ;191;/product/liprimar-001-n30-tabl-pplenoboloch-5e32663965b5ab000164ff8d/
ГИПОТИАЗИД;Хиноин Завод Фармац. и Хим.продуктов, ЗАО ;89;/product/gipotiazid-0025-n20-tabl-5e3268a865b5ab0001651638/
РИТМОНОРМ;Фамар Лион ;469;/product/ritmonorm-015-n50-tabl-pplenoboloch-5e32699aca7bdc000192d75b/
Набор 2-х упаковок Кардиолип 20 мг №90 со скидкой!;Алси Фарма  АО ;1 264;/product/617fc08ffb4e266f3d6c6111/
ПОСТЕРИЗАН;Др. Каде фармацевтическая фабрика ГмбХ ;406;/product/posterizan-n10-supp-rekt-5e3268aeca7bdc000192d123/
ВАЛИДОЛ;ЛЮМИ ООО ;14;/product/validol-005-n20-kaps-podyazychpachkalyumi-6166a0fbb02c68ff31590979/
ВАЛИДОЛ С ГЛЮКОЗОЙ;УРАЛБИОФАРМ ОАО ;40;/product/validol-s-glyukozoj-n20-tabl-pyazych-5e327058f5a9ae000140c273/
КОРМЕНТОЛ;К.О.Биофарм С.А. ;143;/product/kormentol-01-n15-kaps-pyazych-5e326de3f5a9ae000140af6c/
АМИОДАРОН;Органика АО ;148;/product/amiodaron-02-n30-tabl-5e3264e5f5a9ae00014068f7/
ДИУВЕР;Тева, ООО ;339;/product/diuver-0005-n20-tabl-5e3276caca7bdc0001933b17/
МЕЛЬДОНИЙ;Биосинтез ПАО ;108;/product/meldonij-01ml-5ml-n10-amp-r-r-dinbiosintez-5f5610b85718670001ecf481/
ЛОЗАРТАН-ВЕРТЕКС;Вертекс Акционерное Общество ;116;/product/lozartan-verteks-0025-n30-tabl-pplenoboloch-5e326e4e65b5ab00016540c7/
ЭНАЛАПРИЛ;Биосинтез ПАО ;12;/product/enalapril-0005-n20-tablblister-biosintez-602fbda4e40c542105c1a488/
АМЛОДИПИН;Медисорб, АО ;34;/product/amlodipin-0005-n30-tabl-medisorb-5e326e2065b5ab0001653f98/
Набор 2-х упаковок Телпрес плюс таб. 80 мг + 25 мг №98 со скидкой!;Лабораториос Ликонса С.А. ;1 348;/product/617fc14651753b5c718149cc/
АТОРВАСТАТИН МЕДИСОРБ;Медисорб АО ;195;/product/atorvastatin-medisorb-002-n30-tabl-pplenoboloch-5e3269ee65b5ab0001651f00/
ОЛЕСТЕЗИН;Алтайвитамины АО ;154;/product/olestezin-n10-supp-rek-5f27ba3d62373d00019fe2f0/
ИНСПРА;Пфайзер Фармасьютикалз ЭлЭлСи/ Фарева Амбуаз ;1 190;/product/inspra-0025-n30-tabl-pplenoboloch-5e326de2f5a9ae000140af5e/
ДИОВАН;Новартис Фармасьютика С.А. ;1 860;/product/diovan-008-n28-tabl-po-5e32765bf5a9ae000140eecf/
ВАЗОСПОНИН;Вифитех ЗАО ;682;/product/vazosponin-01-n90-tabl-5ede0e220fb48f0001ebc36f/
ЛЕРКАНИДИПИН-СЗ;Северная Звезда, ЗАО ;281;/product/lerkanidipin-sz-002-n30-tabl-pplenoboloch-5e3278b0ca7bdc0001934cf4/
БИСОПРОЛОЛ-ПРАНА;Пранафарм, ООО ;75;/product/bisoprolol-prana-00025-n30-tabl-pplenoboloch-5e327a6d65b5ab000165a08c/
ВЕРОШПИЛАКТОН;Алиум АО ;61;/product/veroshpilakton-0025-n20-tabl-60ae035f234a0833b1f4b329/
ИНДАПАМИД РЕТАРД;Канонфарма продакшн, ЗАО ;83;/product/indapamid-retard-00015-n30-tabl-prolong-vysvob-pplenoboloch-5e326acaf5a9ae000140976d/
ВАЛИДОЛ;Мелиген ФП ЗАО ;26;/product/validol-005-n20-kaps-pyazychmeligen-5e32788bf5a9ae000141027b/
ВАЛСАРТАН;Пранафарм ООО ;186;/product/valsartan-008-n30-tabl-pplenoboloch-pranafarm-5e327225f5a9ae000140ce95/
ФЕНОФИБРАТ КАНОН;Канонфарма продакшн, ЗАО ;383;/product/fenofibrat-kanon-0145-n30-tabl-pplenoboloch-5e326c7265b5ab0001653411/
МИЛДРОНАТ;Эйч Би Эм Фарма с.р.о./ Гриндекс АО ;307;/product/mildronat-01ml-5ml-n10-amp-r-r-vm-vv-parabulbar-5e32795dca7bdc00019352fc/
ВЕРАПАМИЛ;АЛКАЛОИД АД Скопье ;45;/product/verapamil-004-n30-tabl-po-5ef616257485c400018ad723/
АНАПРИЛИН;Здоровье фарм. компания ООО ;48;/product/anaprilin-004-n50-tablblister-60acf5672e4638fc0646a2a8/
Набор 2-х упаковок Телпрес плюс таб. 80 мг + 12,5 мг №56 со скидкой!;Лабораториос Ликонса С.А. ;875;/product/617fc146a03d6f81c8e02555/
ТРИМЕТАЗИДИН-БИОКОМ МВ;Биоком, ЗАО ;247;/product/trimetazidin-biokom-mv-0035-n60-tabl-modif-vysvob-po-5e327954ca7bdc00019352ab/
КО-ВАМЛОСЕТ;КРКА-РУС ООО ;936;/product/ko-vamloset-000501600125-n90-tabl-pplenoboloch-600fb65bfd63dd365e6a54d9/
Набор 2-х упаковок Телпрес таб. 80 мг №56 со скидкой!;Лабораториос Ликонса С.А. ;678;/product/617fc14639502d7d2b88f87c/
ЛОЗАРТАН;Пранафарм ООО ;48;/product/lozartan-00125-n30-tabl-pplenoboloch-pranafarm-5e327514ca7bdc0001932d24/
ЛОЗАРТАН КАНОН;Завод им. акад-ка В.П.Филатова ООО/Канонфарма продакшн ЗАО ;117;/product/lozartan-kanon-005-n30-tabl-pplenoboloch-5e32790865b5ab0001659473/
АТОРВАСТАТИН;Фармпроект АО ;81;/product/atorvastatin-001-n30-tabl-pplenobolochfarmproekt-611a5a5f4f77333e055a6137/
КАПТОПРИЛ;Пранафарм, ООО ;38;/product/kaptopril-005-n20-tabl-pranafarm-5e326c26ca7bdc000192ecbc/
АМЛОДИПИН;ОЗОН ФАРМ, ООО ;71;/product/amlodipin-001-n30-tabl-60ebd39ec8297e09be4cfa59/
СЕРМИОН;Пфайзер Италия С.р.Л. ;548;/product/sermion-0005-n30-tabl-po-5e327639ca7bdc0001933716/
АТОРВАСТАТИН-СЗ;Северная Звезда НАО ;168;/product/atorvastatin-sz--002-n30-tabl-pplenoboloch-5e326807f5a9ae0001408164/
ЭФФЕКС СИЛДЕНАФИЛ;Эвалар ЗАО ;77;/product/effeks-sildenafil-01n1-tabl-pplenobolochblister-5e327436ca7bdc000193248b/
ФУРАЗОЛИДОН;Авексима Сибирь ООО ;76;/product/furazolidon-005-n10-tablaveksima-5e3269b5ca7bdc000192d822/
Набор 2-х упаковок Соликса-Ксантис 5 мг №60 со скидкой!;Санека Фармасьютикалс а.с. ;956;/product/617fc1bece6dc31d49c4d172/
КАМАСТИЛ;Хетеро Лабс Лимитед/ МАКИЗ-ФАРМА ООО ;149;/product/kamastil-01-n4-tabl-pplenoboloch-5f2ba5b7c50b2600018a7d18/
Набор 2-х упаковок Пин Ап 5 мг №28 со скидкой!;Алси Фарма, АО ;914;/product/617fc207bd1eea37f027c71c/
КЛОТРИМАЗОЛ-ТЕВА;Меркле ГмбХ ;208;/product/klotrimazol-teva-1-300-krem-dnaruzhtuba-5e326dbaf5a9ae000140adfe/
ПРОСТАТОФФ;Вифитех, ЗАО ;600;/product/prostatoff-032-n30-kaps-60097148ea75a1d08e25f8e8/
МЕТРОГИЛ ПЛЮС;Юник Фармасьютикал Лабораториз(Отделение фирмы Дж. ;247;/product/metrogil-plyus-1--500-gel-vag-s-applik1-applikator-5e326dbdf5a9ae000140ae1a/
ТАДАЛАФИЛ БАКТЭР;Канонфарма продакшн, ЗАО ;879;/product/tadalafil-bakter-0005-n28-tabl-pplenoboloch-5e3269fb65b5ab0001651f56/
ЛИВАРОЛ;Нижфарм АО ;559;/product/livarol-04-n5-supp-vag-5e326a3665b5ab0001652103/
ДИНАМИКО ЛОНГ;Тева Фармацевтические Предприятия Лтд. ;1 710;/product/dinamiko-long-0005-n14-tabl-pplenoboloch-5e3265aaca7bdc000192b619/
ЭФФЕКС КРАСНЫЙ КОРЕНЬ;Эвалар ЗАО ;172;/product/krasnyj-koren-effeks-100ml-n-ka-5e3268f9f5a9ae0001408a40/
МЕТРОВАГИН;Алтайвитамины ЗАО ;57;/product/metrovagin-05-n10-supp-vag-5e3266f0ca7bdc000192c192/
ФЕМИЛЕКС;Нижфарм АО ;636;/product/femileks-01-n10-supp-vag-5e327990f5a9ae0001410b3f/
ЭСТРОКАД;Др. Каде фармацевтическая фабрика ГмбХ ;630;/product/estrokad-00005-n10-supp-vag-5e326bc1ca7bdc000192e92c/
ТАДАЛАФИЛ;ОЗОН ООО ;155;/product/tadalafil-002-n1-tabl-pplenobolochozon-616eed552f4a4ff6fda4fc06/
КЛИМАЛАКС ФАМ;Вифитех, ЗАО ;303;/product/klimalaks-fam-002-n60-tabletki-pokrytye-plenochnoj-obolochkoj-5e84948cbc93370001dc6d91/
ЙОДОСЕПТ;Биосинтез ПАО ;147;/product/jodosept-02-n10-supp-vag-60101905fd63dd365e6a5600/
КАНДИД ДЛЯ ИНТРАВАГИНАЛЬНОГО ПРИМЕНЕНИЯ;Гленмарк Фармасьютикалз Лтд ;76;/product/kandid-05-n1-tabl-vag-s-aplikatorom-5e326ab6ca7bdc000192e012/
ТОВИАЗ;Эсика Фармасьютикалс ГмбХ/Р-Фарм Германия ГмбХ ;671;/product/toviaz-0004-n28-tabl-prolong-5e32657eca7bdc000192b536/
НЕО-ПЕНОТРАН;Эксэлтис Илач Сан.ве Тик.А.С. ;777;/product/neo-penotran-n14-supp-vag-5e32787765b5ab0001659093/
ТРИХОПОЛ;ПОЛЬФАРМА Фармацевтический завод С.А. ;315;/product/trixopol-05-n10-tabl-vag-5e326a4c65b5ab00016521c0/
ДИЕЦИКЛЕН;Лабораториос Леон Фарма С.А. ;439;/product/diecziklen-0002003mg-n21-tabl-pplenoboloch-5e326b4bca7bdc000192e4bb/
РИГЕВИДОН;Гедеон Рихтер ОАО ;287;/product/rigevidon-n21-tabl-po-5e32762f65b5ab0001657bf8/
ВИЗАРСИН;КРКА, д.д., Ново место, АО ;572;/product/vizarsin-005-n4-tabl-pplenoboloch-5e326da265b5ab0001653bd4/
СИНЭСТРОЛ;Дальхимфарм ОАО ;851;/product/sinestrol-002ml-1ml-n10-amp-r-r-vm-masl-5e326828ca7bdc000192cbeb/
ТАДАЛАФИЛ-КСАНТИС;Алси Фарма, АО ;193;/product/tadalafil-ksantis-002-n4-tabl-pplenoboloch-6148186e715efc9656f847c5/
ОРГАМЕТРИЛ;Н.В. Органон ;2 659;/product/orgametril-0005-n30-tabl-5e3266e4ca7bdc000192c121/
СИЛДЕНАФИЛ КАРДИО;Северная Звезда НАО ;2 326;/product/sildenafil-kardio-002-n90-tabl-pplenoboloch-5e32700c65b5ab0001654f65/
МАМОКЛАМ;Мега Фарм ЗАО ;799;/product/mamoklam-01-n40-tabl-pplenoboloch-5e326f2265b5ab0001654a0b/
ГЛАНСИЛ;Хайгланс Лабораториз Пвт.Лтд. ;249;/product/glansin-02mg-n30-kaps-modif-vysvob-5e326568ca7bdc000192b4cf/
МИДИАНА;Гедеон Рихтер ОАО ;769;/product/midiana-0003000003-n21-tabl-pplenoboloch-5e32763cf5a9ae000140edcb/
ФЕМОДЕН;Байер Веймар Гмбх и Ко КГ ;793;/product/femoden-n21-tabl-po-5e326b0865b5ab0001652805/
ВИАТАЙЛ;Сан Фармасьютикал Индастриз Лтд ;1 590;/product/viatajl-005-n10-tabl-pplenoboloch-5e327697f5a9ae000140f079/
САМПРОСТ;САМСОН-МЕД ООО ;398;/product/samprost-0005-n10-flak-liofil-dr-ra-vm-5e326824ca7bdc000192cbc7/
ЛЕЯ;Синдеа Фарма С.Л. ;461;/product/leya-0003-000002-n28-tabl-pplenoboloch-5e32715265b5ab000165594b/
ТРИБЕСТАН;Софарма АО ;1 841;/product/tribestan-025-n60-tabl-pplenoboloch-5e326abbca7bdc000192e03d/
ФЕНАЗАЛГИН;Обнинская химико-фармацевтическая компания ЗАО ;511;/product/fenazalgin-01-n12-tabl-pplenoboloch-5f0db2aa3518c200014e5e08/
УРОПРОСТ;Альтфарм ООО ;712;/product/uroprost-10mg-n10-supp-rekt-5e326ad4f5a9ae00014097d8/
КАЛЕНДУЛА ДН;ДОКТОР Н ;203;/product/kalendula-dn-n6-supp-5e326a8165b5ab0001652378/
Набор из 2х упаковок РОЛИТЕН 0,002 N30 ТАБЛ П/ПЛЕН/ОБОЛОЧ по специальной цене;NoData;988;/product/615fda900344013d8585e9e5/
РОЛИТЕН;Сан Фармасьютикал Индастриз Лтд ;530;/product/roliten-0002-n30-tabl-pplenoboloch-5e3273ac65b5ab0001656758/
УРОТОЛ;Зентива к.с. ;654;/product/urotol-0002-n56-tabl-pplenoboloch-5e3279e7ca7bdc00019357e0/
МЕТРОНИДАЗОЛ;Дальхимфарм ОАО ;106;/product/metronidazol-05-n10-supp-vagdalximfarm-5f8eac744605560001f20546/
УРОКАМ;КАМЕЛИЯ НПП ООО ;132;/product/urokam--100ml-sirop-5e32711cca7bdc000193122a/
СОНИЗИН;Гедеон Рихтер Румыния А.О. ;394;/product/sonizin-00004-n30-kaps-s-modif-vysvob-5e326d50ca7bdc000192f3d0/
КЕТОКОНАЗОЛ;Авексима Сибирь ООО ;260;/product/ketokonazol-04-n5-supp-vag-5e3269bbf5a9ae0001408efb/
ФАРМАТЕКС;ФАРМАТЕКС ;491;/product/farmateks-12-720-krem-5e3267a3ca7bdc000192c7e9/
ФИНАСТЕРИД-ТЕВА;Тева Фармасьютикал Воркс Прайвэт Лимитед Компани ;305;/product/finasterid-teva-0005-n30-tabl-pplenoboloch-5e326a21ca7bdc000192db01/
ОМСУЛОЗИН;Сан Фармасьютикал Индастриз Лтд ;399;/product/omsulozin-00004-n30-kaps-prolong-5e327356f5a9ae000140d75d/
СОНИРИД ДУО;Гедеон Рихтер ОАО ;979;/product/sonirid-duo-000040005-n3030kaps-modiftabl-pplenoboloch-5e32797aca7bdc000193540a/
СИЛДЕНАФИЛ;ОЗОН ООО ;74;/product/sildenafil-005-n1-tabl-pplenobolochozon-5e32734a65b5ab000165659b/
ЛУВЕРИС;Мерк Сероно С.А., Филиал Обонн / Мерк Сероно С.п.А. ;2 766;/product/luveris-75me-n1-flak-liof-dr-rar-l-1ml-n1-dpodkozh-5e326da1f5a9ae000140ad25/
ФЛУОМИЗИН;Роттендорф Фарма ГмбХ/Мединова АГ ;541;/product/fluomizin-001-n6-tabl-vag-5e327877ca7bdc0001934b67/
ПОВИДОН-ЙОД СУППОЗИТОРИИ;ЮжФарм ООО ;292;/product/povidon-jod-02-n10-supp-vag-5e3271e2ca7bdc0001931741/
ПИН АП;Алси Фарма, АО ;175;/product/pin-ap-002-n1-tabl-pplenoboloch-6144a13b254fa7c4bab01b78/
ВИЛДЕГРА;ОЗОН ООО ;136;/product/vildegra-01-n1-tabl-prolong-pplenoboloch-5e327690f5a9ae000140f046/
ДИНАМИКО ЛОНГ;Тева Фармацевтические Предприятия Лтд ;565;/product/dinamiko-long-002-n1-tabl-pplenoboloch-5e327a22ca7bdc00019359b0/
НОВИГАН;Д-р Редди'с Лабораторис Лтд ;132;/product/novigan-n10-tabl-pplenoboloch-5e32674065b5ab0001650a3a/
ЛИДАМИТОЛ;Гротекс, ООО ;512;/product/lidamitol-01ml00025ml-1ml-n5-amp-r-r-vv-vm-5e326c98ca7bdc000192ef8b/
АМЕЛОТЕКС;ОЗОН ООО ;192;/product/ameloteks-1-300-gel-5e327170ca7bdc00019314eb/
НИМЕСУЛИД;Лекфарм, СООО ;54;/product/nimesulid-01-n20-tabl-lekfarm-612f65c68a4264a55f2fa8d8/
ДИКЛОФЕНАК;Хемофарм А.Д.Вршац, произ-ая площадка Шабац/ Хемофарм А.Д. ;130;/product/diklofenak-1-400-gel-5e32719d65b5ab0001655b07/
КЕТАНОВ МД;Сан Фармасьютикал Индастриз Лтд ;112;/product/ketanov-md-001-n20-tabl-disperg-vpolosti-rta-5f5b4c4eb6af2500012536ca/
НАБОР ВОЛЬТАРЕН ЭМУЛЬГЕЛЬ 1% 50,0 ГЕЛЬ Д/НАРУЖ ПРИМ закажи со скидкой 30% на вторую упаковку;ВОЛЬТАРЕН ;622;/product/5fecb4aca743de986faeda77/
ДИП РИЛИФ;Ментолатум Компани Лимитед ;360;/product/dip-rilif-500-gel-5e327660f5a9ae000140eefa/
КЕТОНАЛ;Лек Д.Д. ;99;/product/ketonal-005ml-2ml-n5-amp-r-r-vv-vm-5eeb2b69b52bc400017719bb/
МУРАВЬИНЫЙ СПИРТ;Флора Кавказа ОАО ;33;/product/muravinyj-spirt-14-50ml-flak-r-r-dnaruzh-prim-spirtovojflora-kavkaza-5fa3bc190f26d500011b6894/
ДОЛГИТ;Долоргит ГмбХ и Ко.КГ ;139;/product/dolgit-5-500-krem-5e3264ef65b5ab000164f807/
НЕЙРОДИКЛОВИТ;Г.Л.Фарма ГмбХ ;376;/product/nejrodiklovit-n30-kaps-modif-vysvob-5e3269fbf5a9ae00014090b1/
ОСТЕОСТАТИКС;Фарм-Синтез,ООО ;9 024;/product/osteostatiks-0005100ml-flak-r-r-dinf-5e32743865b5ab00016569dc/
ОКИ;Институт Де Анжели С.р.Л. ;262;/product/oki-016-n10-supp-rekt-5e32799bca7bdc000193552c/
МЕЛОКСИКАМ-КСАНТИС;Алси Фарма  АО ;63;/product/meloksikam-ksantis-00075-n20-tabl-5fd0d705e01668000109952a/
ИНДОМЕТАЦИН;Борисовский завод медицинских препаратов, ОАО ;61;/product/indometaczin-10-400-mazborisov-zmp-5e326de0f5a9ae000140af47/
КЕТОРОЛАК;Обновление ПФК  АО ;37;/product/ketorolak-001-n14-tabl-pplenoboloch-obnovlenie-5e33f5e8434026000139ff99/
ХОНДРОКСИД;Нижфарм АО ;344;/product/xondroksid-5-300-maz-5e326840f5a9ae0001408392/
КЕТОПРОФЕН ДС;ВЕТПРОМ АД ;79;/product/ketoprofen-ds-005ml-2ml-n5-amp-r-r-vv-vm-5ebbcb0a2dacb2000198449d/
АРТРАКСИКАМ;Нижфарм АО ;352;/product/artraksikam-003g01g-krem-dnaruzh-prim-300-6166a672f3739d36e65443ce/
ТИЗОЛЬ;ОЛИМП ООО ;446;/product/tizol-100-gel-dnarmestn-prim-5e32758965b5ab00016575b0/
ИБУПРОФЕН;ОЗОН ООО ;77;/product/ibuprofen-5-500-gel-dnar-prim-ozon-5e326fae65b5ab0001654e58/
ТОЛПЕРИЗОН МЕДИСОРБ;Медисорб, АО ;130;/product/tolperizon-medisorb-005-n30-tabl-pplenoboloch-5e70bbcc9c03e100019b2df1/
АЦЕКЛОФЕНАК;Фармпроект АО ;125;/product/aczeklofenak-01-n20-tabl-pplenobolochfarmproekt-5e3269e9ca7bdc000192d98b/
КЕТОНАЛ КАПСУЛЫ;Лек Д.Д. ;99;/product/ketonal-005-n25-kaps-5e326856ca7bdc000192cdc9/
СИРДАЛУД;Новартис Саглик Гида ве Тарим Юрюнлери Санайи ве Т ;199;/product/sirdalud-0002-n30-tabl-5e32760f65b5ab0001657acb/
МУРАВЬИНЫЙ СПИРТ;ЭКОлаб ЗАО ;39;/product/muravinyj-spirt-14-50ml-flakkap-sprej-dnaruzh-prim-spirtovoj-s-nasosom-raspylitelem-5e327072ca7bdc0001930c49/
КЕТОПРОФЕН;Синтез ОАО ;154;/product/ketoprofen-5-300-gel-dnaruzh-prim-sintez-5e3277bd65b5ab00016589de/
КЛОДИФЕН НЕЙРО;Адифарм ЕАД ;681;/product/klodifen-nejro-n30-kaps-5e326e21ca7bdc000192fa53/
ИНДОМЕТАЦИН СОФАРМА;Софарма АО ;63;/product/indometaczin-sofarma-0025-n30-tabl-pkishechnorastvoroboloch-5e326ac565b5ab0001652604/
ДИКЛОРАН ПЛЮС;Юник Фармасьютикал Лабораториз(Отделение фирмы Дж. ;257;/product/dikloran-plyus-300-gel-5e3264f3f5a9ae0001406995/
